  位置      位置描述   车位描述  计时价格（元/小时）（382-637）  经、纬度
东经路停车场 东经路6号附近 车位23个 10 39.8850520988 116.3933320268
新农街停车场 北京市宣武区天桥新农街19号（天桥剧场东门往南100米路西 车位66个 10 39.8818790988 116.3970650268
红莲路69号院周边（茶马街、茶马南街）停车场 北京市西城区红莲西路与茶马南街交叉口西50米 车位70个 10 39.8781444852 116.3318273147
马连道25号新年华商场周边（茶源街、茶马南街）停车场 马连道25号新年华商场 车位65个 10 39.8777510636 116.3246223410
成方街停车场 成方街甲33号院附近 车位数32个 10 39.9084443976 116.3604630544
小马厂路停车场 北京市西城区小马厂路1-9号 车位数28个 10 39.8922279617 116.3404658083
天宁寺前街周边停车场 北京市西城区天宁寺东里18号 车位数91个 10 39.8923479617 116.3465148083
白云观东街停车场 白云观街东口 车位数27个 10 39.8994394978 116.3449695905
红莲南路西段停车场 北京市西城区红莲南路24号 车位数62个 10 39.8772454852 116.3358833147
南纬路停车场 北京市次城区南纬路4号 车位数70个 10 39.8806959841 116.3944172859
右安门西街北侧停车场 东城区左安门西街北侧 车位数54个 10 39.8729060000 116.4324050000
菜园街停车场 北京市西城区菜园街 车位数48个 10 39.8815610000 116.3536070000
白广路二条停车场 登莱胡同与白广路二条交叉口东100米 车位数25个 10 39.8861350000 116.3563920000
东方饭店门前（香厂路南侧）停车场 北京市西城区东方饭店 车位数11个 10 31.7336940000 119.9471820000
工商、法院、审计门前停车场 北京市西城 车位数25个 10 39.9153100000 116.3667910000
西经路停车场 寿长街二条与西经路交叉口北50米 车位数26个 10 39.8845630988 116.3892440268
槐柏树周边（槐柏树街、广义街）停车场 槐柏树前街与槐柏树街北里交叉口东100米 车位数110车 10 39.8946630000 116.3552450000
南横东街停车场 北京市西城区南横东街 车位数30个 10 39.8832930000 116.3782120000
椿树园小区周边停车场 北京市西城区椿树园小区周边路侧 车位数117个 10 39.8940010000 116.3779980000
香炉营胡同停车场 北京市西城区香炉营社区居委会 车位数80个 10 39.8973350000 116.3795700000
广外马连道南街停车场 北京市磁场去马连道南街 车位数80个 10 39.8844950000 116.3282780000
红居东街停车场 北京市西城区红居东街 车位数25个 10 39.8881340000 116.3401640000
德泉胡同停车场 北京市西城区德泉胡同 车位数24个 10 39.8883740000 116.3603360000
福长街停车场 北京市西城区福长街1号附近 车位数40个 10 39.8835910000 116.3847422600
枫桦豪景路侧停车场 北京市西城区枫桦豪景 车位数46个 10 39.8885000000 116.3722150000
广外南街停车场 广外南街至广安门南滨河路 车位数26个 10 39.8870501500 116.3364588600
红居南街停车场 北京市西城区红居南街 车位数77个 10 39.8826680000 116.3390580000
广安门南街停车场 北京市西城区广安门南街 车位数137个 10 39.8817710000 116.3501120000
盆儿胡同停车场 北京西城区盆儿胡同 车位数150个 10 39.8800390000 116.3707430000
范家胡同停车场 北京市西城区范家胡同 车位数25个 10 39.8927440000 116.3609300000
老墙根街停车场 北京市西城区老墙根街 车位数51个 10 39.8934440000 116.3680270000
乐城小区北侧停车场 北京市西城无红莲南路6号院 车位数110个 10 39.87620000 116.3389360000
菜户营西街停车场 北京市西城区菜户营细节 车位数17个 10 39.8735240000 116.3434220000
广安胡同停车场 北京市西城区广安胡同 车位数25个 10 39.8946570000 116.3689350000
马连道一号地停车场 北京市马连道胡同1号 车位数120个 10 39.8792150000 116.3344120000
前门西大街楼后停车场 北京市东城区前门大街 车位数41个 10 39.9003490000 116.3930740000
南横西街停车场 北京市西城区南横西街 车位数32个 10 39.8822990000 116.3699100000
广安门北街停车场 北京市西城区广安门北街 车位数25个 10 39.8946150000 116.3500440000
里仁东街路南侧停车场 北京市西城区里仁东街 车位数25个 10 39.8758510000 116.3756710000
南线里停车场 北京市西城区南线里 车位数46个 10 39.8857920000 116.3516770000
枣林前街停车场 北京市西城区枣林前街 车位数27个 10 39.8832930000 116.3555600000
南线阁停车场 北京市西城区南线阁 车位数22个 10 39.8871990000 116.3529970000
天虹商厦周边（原红居街）停车场 北京市西城区牛街街道南线里小区 车位数60个 10 39.8868780000 116.3527210000
南新华街停车场 北京市西城区南新华街 车位数21个 10 39.8945120000 116.3846360000
陶然亭路东口停车场 北京市陶然亭路 车位数36个 10 39.88910000 116.3821030000
中环假日酒店门前（南运巷、通河北巷）停车场 北京市西城区北京中环假日酒店 车位数55个 10 39.8822210000 116.3527830000
广安门外南街南段停车场 北京市西城区广安门外南街 车位数80个 10 39.8842510000 116.3285220000
槐柏树后街停车场 北京市西城区槐柏树后街 车位数40个 10 39.8975180000 116.3620830000
陶然亭北岸小区停车场 北京市西城区陶然亭 车位数35个 10 39.8785510000 116.3865740000
宣武体育场停车场 北京市宣武体育场停车场 车位数83个 10 39.8865810000 116.3545760000
鸭子桥北街停车场 北京市鸭子桥北街 车位数30个 10 39.8802800000 116.3480680000
车公庄大街停车场 北京市车公庄大街停车场 车位数200个 10 39.9324260000 116.3438340000
西铁匠胡同停车场 北京市西城区西铁匠胡同 车位数30个 10 39.9056090000 116.35736800000
阜外大街停车场  北礼士路167号阜外心血管病医院 车位数247个 10 39.9242062764 116.3528814163
阜成门停车场 西城区西单北大街甲131号西单大悦城内近君太百货 车位数36个 10 39.9113662421 116.3724426905
裕民中路停车场 北京市西城区裕民路 车位数80个 10 39.9791890000 116.3945640000
新街口饭店停车场 新街口南大街 车位数34个 10 39.9386807901 116.3726071357
西单北建行停车场 北京市西城区西单北大街 车位数10个 10 39.9173142421 116.3737506905
三里河路停车场 北京市西城区月坛街至三里河路道路西侧 车位数246个 10 39.8995164078 116.3419815905
平安里大街停车场 平安里西大街与狮子西巷交叉口西北50米 车位数98个 10 39.9323810000 116.3627470000
西安门大街停车场 北京市西城区西安门大街与颁赏胡同交叉口西50米 车位数34个 10 39.9214940000 116.3746640000
砂锅居前停车场 北京市西城区西四南大街60号 车位数10个 10 39.9203870000 116.3737870000
新街口外大街停车场 北京市西城区新街口外大街 车位数167个 10 39.9598880000 116.3708800000
大红罗厂停车场 北京市西城区西斯北大街156号 车位数29个 10 39.9274350000 116.3741000000
景山后街停车场 北京市东城区景山后街 车位数12个 10 39.928450000 116.3973160000
北海公园南门停车场 北京市西城区文津街1号 车位数42个 10 39.9333000000 116.3919750000
复兴商业城停车场 北京市西城区复兴门外大街甲4 车位数30个 10 39.9068340000 116.3498000000
闹市口大街停车场 西铁匠胡同与闹市口大街交叉口北100米 车位数102个 10 39.9053380000 116.3632660000
展览馆路停车场 展览馆路与扣钟胡同交叉口南150米 车位数66个 10 39.9271930000 116.3335035300
万方商场门前停车场 北京市西城区约谈南路30号 车位数30个 10 39.9137540000 116.3415680000
三里河东路停车场 北京市西城区三里河东路甲8号院 车位数281个 10 39.9164050000 116.3458400000
月坛北街停车场 北京市西城区月坛北街26-1号附近 车位数285个 10 39.9170380000 116.3459090000
复兴医药公司门前停车场 北京市西城区阜内大街293号南楼 车位数30个 10 39.9239460000 116.3593290000
宣武门内大街停车场 北京市西城区宣武门内大街临1号 车位数15个 10 39.9044990000 116.3738330000
广安门内大街停车场 北京市西城区广安门内大街223-14号附近 车位数240个 10 39.8896030000 116.3669430000
前门西大街西段停车场 北京市西城区西长安街街道前门西大街33号 车位数105个 10 39.9003450000 116.3931040000
宣武门东大街停车场 北京市宣武门至和平门 车位数111个 10 39.8997230000 116.3743130000
宣武门西大街停车场 北京市宣武门西大街12号 车位数121个 10 39.8990020000 116.3658910000
宣武门外大街停车场 北京市西城区宣武门西大街至菜市口 车位数166个 10 39.8892330000 116.3744280000
广安门外大街停车场 北京市西城区广安门外大街与马连道东街交叉口东南50米 车位数179个 10 39.9235730000 116.3510280000
白纸坊西街停车场 北京市西城区白纸坊胡同与白纸坊西街交叉口北50米 车位数87个 10 39.8779030000 116.3575060000
菜市口大街停车场 北京市西城区菜市口大街 车位数329个 10 39.8832360000 116.374420000
长椿街停车场 北京市西城区长椿街34号附近 车位数96个 10 39.8917050000 116.3646770000
广外北街停车场 北京市西城区广安门外大街299号附近 车位数18个 10 39.8927610000 116.3364180000
牛街停车场 广安门内大街至南横街 车位数48个 10 39.8893126893 116.3742360006
手帕口桥下停车场 北京市西城区手帕口桥 车位数91个 10 39.8894390000 116.3414150000
下斜街停车场 北京市西城区下斜街至长椿寺北墙外西口 车位数41个 10 39.8906360000 116.3637540000
军事书店停车场 北京市西城区军事书店 车位数39个 10 39.9049870000 116.4052810000
北京站西停车场 北京市东城区北京站西街3号 车位数42个 10 39.9037170000 116.4272840000
青年沟西口停车场 北京市东城区和平里青年沟西口 车位数44个 10 39.9618000000 116.417000000
同仁医院（东院）停车场 北京市东城区崇文门内大街东侧 车位数34个 10 39.9050560000 116.4182430000
朝内大街停车场 北京市东城区朝阳门内大街 车位数216个 10 39.9244000000 116.4263000000
美术馆后街停车场 北京中医医院至美术馆东口 车位数102个 10 39.9313130000 116.4089200000
新中街临时停车场 北京市东城区新中街 车位数112个 10 39.9316410000 116.4397350000
台基厂三条临时停车场 北京市东城区台基厂三条 车位数37个 10 39.9037930000 116.4133220000
老钱局胡同临时占道停车场 北京市东城区老钱局胡同 车位数8个 10 39.9062120000 116.4307710000
大华路临时停车场 北京市东城区大华路 车位数91个 10 39.9035220000 116.4162060000
青年湖及南街临时停车场 青年湖及南街路侧便道 车位数24个 10 39.9563480000 116.4064560000
华美伦酒店临时停车场 北京市东城区苏州胡同邮通街59号 车位数25个 10 39.9057500000 116.4245220000
灯市口大街临时停车场 北京市东城区灯市口大街 车位数47个 10 39.9186670000 116.413180000
和平里南街东口临时停车场 北京市东城区和平里南街 车位数16个 10 39.9540440000 116.4204030000
东城区台基厂二条临时停车场 北京市东城区台基厂二条 车位数35个 10 39.9051020000 116.4138260000
东城区第六医院临时停车场 北京市东城区 车位数26个 10 39.9175450000 116.4187550000
东城区协和百货西侧临时停车场 北京市东城区 车位数20个 10 39.9175450000 116.4187550000
东城区长安大戏院临时停车场 北京市东城区长安大戏院 车位数22个 10 39.9094200000 116.4303210000
华诚大厦临时占道停车场 北京市东城区大华路甲2号广发银行大厦 车位数20个 10 39.9075300000 116.4165170000
金隆基大厦外侧占道停车场 北京市东城区金隆基大厦 车位数30个 10 39.9256100000 116.4130330000
安外永胜机动车停车场 北京市东城区青年湖北街1号附近 车位数24个 10 39.9592590000 116.4091640000
安内鸭绿江临时停车场 安内鸭绿江临时停车场 车位数13个 10 39.9049870000 116.4052810000
甘雨胡同临时占道停车场 北京市东城区甘雨胡同 车位数59个 10 39.9169920000 116.4142070000
外交部街临时占道停车场 北京市东城区外交部街 车位数25个 10 39.9122459700 116.4218750000
什锦花园临时停车场 北京市东城区什锦花园 车位数17个 10 39.9299320000 116.4131550000
王府井规范区西区临时停车场 北京市东城区王府井 车位数132个 10 39.9233470000 116.4113010000
豆瓣胡同临时占道停车场 豆瓣胡同临时占道停车场 车位数43个 10 39.9273340000 116.4320140000
海运仓胡同临时占道停车场 北京市东城区海运仓胡同 车位数89个 10 39.9365770000 116.4308240000
贡院东街临时占道停车场 京市东城区贡院东街 车位数14个 10 39.9100720000 116.4334490000
艺华胡同临时占道停车场 北京市东城区艺华胡同 车位数32个 10 39.9137500000 116.4331740000
东总布胡同临时占道停车场 北京市东城区东总布胡同 车位数17个 10 39.9121440000 116.4314580000
智德北巷临时占道停车场 北京市东城区智德北巷 车位数38个 10 39.9184760000 116.4051590000
北京市检察院南侧、西侧占道停车场 北京市东城区北京市人民检察院 车位数33个 10 39.9116520000 116.4340970000
青龙胡同临时占道停车场 北京市东城区青龙胡同 车位数22个 10 39.9481620000 116.4235230000
史家胡同南侧临时占道停车场 北京市东城区史家胡同 车位数23个 10 39.9184190000 116.4221730000
南竹竿胡同临时占道停车场 北京市东城区竹竿胡同 车位数56个 10 39.9227220000 116.4306410000
王家园胡同临时占道停车场 北京市东城区王家园胡同 车位数53个 10 39.931000000 116.4390180000
东中街（南）临时占道停车场 北京市东城区东中街 车位数62个 10 39.9313050000 116.4366230000
大纱帽、小纱帽、大甜水井路临时占道停车场 北京市东城区大甜水井胡同 车位数89个 10 39.9120830000 116.4104080000
南北水关临时占道停车场 北京市东城区朝阳门内南北水关胡同 车位数113个 10 39.9222980000 116.4310000000
夕照寺街临时占道停车场 北京市东城区夕照寺街 车位数29个 10 39.8920330000 116.4399410000
永定门东街停车场 北京市东城区永定门东街南侧 车位数138个 10 39.8747370000 116.4005970000
新景家园西门 北京市东城区新景家园 车位数20个 10 39.8961180000 116.42452200000
东打磨厂 北京市东城区东打磨厂 车位数19个 10 39.8997690000 116.4133070000
东兴隆街占道停车场 北京市东城区东兴隆街 车位数42个 10 39.8972170000 116.4154050000
南五老胡同占道停车场 北京市东城区五老胡同 车位数50个 10 39.8956870000 116.4153590000
北京大龙建设集团有限公司停车场 京市东城区珠市口东大街3号 车位数7个 10 39.8935320000 116.4155880000
鼎新路停车场 北京市东城区鼎新路 车位数116个 10 39.8958510000 116.4353790000
玉蜓桥东北角事故车 北京市丰台区玉蜓桥 车位数60个 10 39.8708650000 116.4215010000
左安门西街占道停车场 北京东城区左安门西街北侧 车位数40个 10 39.8728560000 116.4315570000
左安门内大街停车场 北京市东城区左安门内大街78号附近 车位数70个 10 39.8738120000 116.4390510000
苏家破停车场 苏家坡胡同37号附近 车位数30个 10 39.8912010000 116.4057390000
管村路停车场 北京市东城区西罗园管村路 车位数40个 10 39.8561780000 116.3957520000
新裕家园88号楼底商停车场 北京市东城区新裕家园88号楼 车位数45个 10 39.8927610000 116.4239270000
新景家园东门占道停车场 北京市东城区新景家园东门 车位数20个 10 39.8956870000 116.4271770000
白桥西里 北京市东城区白桥西里 车位数60个 10 39.8956220000 116.4393460000
新裕商务楼地面停车场 北京市东城区新裕商务大厦 车位数65个 10 39.8926320000 116.4208450000
体育馆路停车场 北京市东城区体育馆路 车位数160 10 39.8840750000 116.4273610000
天坛东路停车场 北京市东城区天坛东路13号 车位数150个 10 39.8810540000 116.4191670000
光明路停车场 北京市东城区光明路12号(近光明小学) 车位数82个 10 39.8846050000 116.4360730000
工人体育馆北路临时占道停车场 北京市朝阳区工人体育 车位数52个 10 39.9336930000 116.4485930000
北新仓胡同临时占道停车场 北京市东城区北新仓胡同 车位数43个 10 39.934710000 116.4260100000
新侨饭店门前临时占道停车场 北京市东城区新侨饭店 车位数27个 10 39.9016880000 116.4168550000
交道口东大街临时占道停车场 北京市东城区交道口东大街 车位数53个 10 39.8907010000 116.4018400000
十字坡胡同临时占道停车场 北京市朝阳区十字坡 车位数23个 10 39.9195980000 116.4488830000
东单体育馆南侧路临时占道停车场 北京市东城区东单体育馆南侧路两侧 车位数28个 10 39.9175450000 116.4187550000
南小市口街临时占道停车场 北京市东城区花市枣苑南门停车场 车位数31个 10 39.8951450033 116.4299281804
东城交通支队门前临时占道停车场 北京市东城区东城交通支队违章事故停车场 车位数29个 10 39.9513808472 116.4157478161
忠实里南街临时占道停车场 东城区忠实里2号东环居苑小区地下停车场 车位数40个 10 39.8989284302 116.4454398199
崇文门西大街临时占道停车场 东城区东茶食胡同停车场 车位数34个 10 39.8997321562 116.4142367071
南小市口街临时占道停车场 北京市东城区花市枣苑南门停车场 车位数31个 10 39.8951450033 116.4299281804
东城交通支队门前临时占道停车场 北京市东城区东城交通支队违章事故停车场 车位数29个 10 39.9513808472 116.4157478161
忠实里南街临时占道停车场 东城区忠实里2号东环居苑小区地下停车场	车位数40个 10 39.8989284302 116.4454398199
崇文门西大街临时占道停车场 东城区东茶食胡同停车场 车位数34个 10 39.8997321562 116.4142367071
和平里南街东段临时占道停车场 北京市东城区北三环东路36号环球贸易中心-地下停车场 车位数80个 10 39.9651674417 116.4105177928
仓夹道临时占道停车场 北京市东城区仓夹道胡同停车场 车位数79个 10 39.9383039089 116.4314817060
台基厂头条临时占道停车场 北京市东城区台基厂头条3-1号附近 车位数18个 10 39.9058551562 116.4160497071
台基厂头条临时占道停车场 北京市东城区台基厂头条3-1号附近 车位数49个 10 39.9058551562 116.4160497071
安德路东段临时占道停车场 北京市东城区北三环东路36号环球贸易中心-地下停车场 车位数17个 10 39.9651674417 116.4105177928
故宫东门临时占道停车场 北京市西城区文津街1号北海公园东门北海公园停车场-入口 车位数65个 10 39.9223875351 116.3898223177
永定门外旧路临时占道停车场 北京市东城区琉璃井路77号 车位数47个 10 39.8665499910 116.4027356749
安定门外大街临时占道停车场 东城区安定门外大街辅路安贞大厦-停车场 车位数123个 10 39.9686644417 116.4090067928
东四西大街临时占道停车场 东四西大街157号民航信息大厦-停车场 车位数104个 10 39.9245443203 116.4119162561
永定门内大街限时临时占道停车场 北京市西城区天桥街道东南方向 车位数40个 10 39.8807130988 116.3984090268
北京新侨三宝乐临时占道停车场 东城区崇文门西大街1号新侨三宝乐西餐厅-停车场 车位数26个 10	39.9015451562 116.4175807071
金宝街临时占道停车场 北京市东城区建国门街道金宝街北社区西方向 车位数213个 10 39.9154056609 116.4231178581
朝阳门南小街临时占道停车场 北京市东城区朝阳门街道竹杆社区西南方向 车位数78个 10 39.9209483984 116.4268945565
柏树胡同临时占道停车场 灯市口大街88天伦松鹤大饭店-停车场 车位数40个 10 39.9183578640 116.4129022713
东单三条临时占道停车场 北京市东城区东华门街道王府井社区西南方向 车位数35个 10 39.9099398640 116.4126092713
东滨河路临时占道停车场 北京市东城区民旺园19北京老干部大学附近 车位数100个 10 39.9507040731 116.4297819202 北京市东城区北三环东路36号环球贸易中心-地下停车场 车位数80个 10 39.9651674417 116.4105177928
仓夹道临时占道停车场 北京市东城区仓夹道胡同停车场 车位数79个 10 39.9383039089 116.4314817060
台基厂头条临时占道停车场 北京市东城区台基厂头条3-1号附近 车位数18个 10 39.9058551562 116.4160497071
台基厂头条临时占道停车场 北京市东城区台基厂头条3-1号附近 车位数49个 10 39.9058551562 116.4160497071
安德路东段临时占道停车场 北京市东城区北三环东路36号环球贸易中心-地下停车场 车位数17个 10 39.9651674417 116.4105177928
故宫东门临时占道停车场	北京市西城区文津街1号北海公园东门北海公园停车场-入口 车位数65个 10 39.9223875351 116.3898223177
永定门外旧路临时占道停车场 北京市东城区琉璃井路77号 车位数47个 10 39.8665499910 116.4027356749
安定门外大街临时占道停车场 东城区安定门外大街辅路安贞大厦-停车场 车位数123个 10 39.9686644417 116.4090067928
东四西大街临时占道停车场 东四西大街157号民航信息大厦-停车场 车位数104个	10 39.9245443203 116.4119162561
永定门内大街限时临时占道停车场	北京市西城区天桥街道东南方向 车位数40个 10 39.8807130988 116.3984090268
北京新侨三宝乐临时占道停车场 东城区崇文门西大街1号新侨三宝乐西餐厅-停车场 车位数26个 10 39.9015451562 116.4175807071
金宝街临时占道停车场 北京市东城区建国门街道金宝街北社区西方向	车位数213个 10 39.9154056609 116.4231178581
朝阳门南小街临时占道停车场 北京市东城区朝阳门街道竹杆社区西南方向 车位数78个 10	39.9209483984 116.4268945565
柏树胡同临时占道停车场 灯市口大街88天伦松鹤大饭店-停车场 车位数40个 10	39.9183578640 116.4129022713
东单三条临时占道停车场 北京市东城区东华门街道王府井社区西南方向	车位数35个 10 39.9099398640 116.4126092713
东滨河路临时占道停车场 北京市东城区民旺园19北京老干部大学附近	车位数100个 10 39.9507040731 116.4297819202
煤渣胡同临时占道停车场 北京市东城区煤渣胡同 车位数30个 10 39.9141580000 116.4151840000
东直门内北小街临时占道停车场 北京市东城区东直门北小街 车位数30个 10 39.9462890000 116.4255450000
东直门内大街临时占道停车场 北京市东城区东直门内大街 车位数79个 10 39.8938600000 116.4287950000
白桥大街临时占道停车场 北京市东城区白桥大街 车位数30个 10 39.8961750000 116.4392850000
西总部胡同临时占道停车场 北京市东城区西总布胡同 车位数17个 10 39.9120830000 116.4216840000
